region_code,weather_param,year,key,value
UK,Max temp,1910,JAN,5.4
UK,Max temp,1910,FEB,6.8
UK,Max temp,1910,MAR,9.1
UK,Max temp,1910,APR,9.8
UK,Max temp,1910,MAY,14.4
UK,Max temp,1910,JUN,17.7
UK,Max temp,1910,JUL,17.0
UK,Max temp,1910,AUG,17.7
UK,Max temp,1910,SEP,15.6
UK,Max temp,1910,OCT,12.8
UK,Max temp,1910,NOV,5.9
UK,Max temp,1910,DEC,7.7
UK,Max temp,1911,JAN,5.9
UK,Max temp,1911,FEB,6.8
UK,Max temp,1911,MAR,7.2
UK,Max temp,1911,APR,10.3
UK,Max temp,1911,MAY,16.4
UK,Max temp,1911,JUN,17.8
UK,Max temp,1911,JUL,21.4
UK,Max temp,1911,AUG,21.2
UK,Max temp,1911,SEP,17.3
UK,Max temp,1911,OCT,11.8
UK,Max temp,1911,NOV,7.8
UK,Max temp,1911,DEC,7.7
UK,Max temp,1912,JAN,5.3
UK,Max temp,1912,FEB,7.0
UK,Max temp,1912,MAR,9.2
UK,Max temp,1912,APR,12.6
UK,Max temp,1912,MAY,14.8
UK,Max temp,1912,JUN,16.3
UK,Max temp,1912,JUL,18.4
UK,Max temp,1912,AUG,15.2
UK,Max temp,1912,SEP,13.9
UK,Max temp,1912,OCT,11.5
UK,Max temp,1912,NOV,8.0
UK,Max temp,1912,DEC,8.2
UK,Max temp,1913,JAN,5.9
UK,Max temp,1913,FEB,7.0
UK,Max temp,1913,MAR,8.2
UK,Max temp,1913,APR,10.5
UK,Max temp,1913,MAY,14.3
UK,Max temp,1913,JUN,17.1
UK,Max temp,1913,JUL,17.6
UK,Max temp,1913,AUG,18.6
UK,Max temp,1913,SEP,16.5
UK,Max temp,1913,OCT,13.2
UK,Max temp,1913,NOV,10.2
UK,Max temp,1913,DEC,6.6
UK,Max temp,1914,JAN,5.4
UK,Max temp,1914,FEB,8.6
UK,Max temp,1914,MAR,8.2
UK,Max temp,1914,APR,13.5
UK,Max temp,1914,MAY,13.8
UK,Max temp,1914,JUN,17.9
UK,Max temp,1914,JUL,18.8
UK,Max temp,1914,AUG,19.3
UK,Max temp,1914,SEP,16.8
UK,Max temp,1914,OCT,12.9
UK,Max temp,1914,NOV,8.9
UK,Max temp,1914,DEC,6.1
UK,Max temp,1915,JAN,5.3
UK,Max temp,1915,FEB,6.1
UK,Max temp,1915,MAR,7.7
UK,Max temp,1915,APR,11.0
UK,Max temp,1915,MAY,14.3
UK,Max temp,1915,JUN,18.0
UK,Max temp,1915,JUL,17.5
UK,Max temp,1915,AUG,18.1
UK,Max temp,1915,SEP,16.6
UK,Max temp,1915,OCT,11.9
UK,Max temp,1915,NOV,5.8
UK,Max temp,1915,DEC,6.5
UK,Max temp,1916,JAN,9.0
UK,Max temp,1916,FEB,5.5
UK,Max temp,1916,MAR,5.1
UK,Max temp,1916,APR,11.3
UK,Max temp,1916,MAY,14.3
UK,Max temp,1916,JUN,14.6
UK,Max temp,1916,JUL,18.1
UK,Max temp,1916,AUG,19.3
UK,Max temp,1916,SEP,15.7
UK,Max temp,1916,OCT,12.6
UK,Max temp,1916,NOV,8.8
UK,Max temp,1916,DEC,4.6
UK,Max temp,1917,JAN,2.9
UK,Max temp,1917,FEB,4.0
UK,Max temp,1917,MAR,5.8
UK,Max temp,1917,APR,8.3
UK,Max temp,1917,MAY,15.7
UK,Max temp,1917,JUN,18.0
UK,Max temp,1917,JUL,19.4
UK,Max temp,1917,AUG,17.9
UK,Max temp,1917,SEP,16.5
UK,Max temp,1917,OCT,10.2
UK,Max temp,1917,NOV,9.7
UK,Max temp,1917,DEC,4.7
UK,Max temp,1918,JAN,5.5
UK,Max temp,1918,FEB,8.0
UK,Max temp,1918,MAR,8.6
UK,Max temp,1918,APR,9.8
UK,Max temp,1918,MAY,16.1
UK,Max temp,1918,JUN,16.8
UK,Max temp,1918,JUL,18.5
UK,Max temp,1918,AUG,18.6
UK,Max temp,1918,SEP,14.0
UK,Max temp,1918,OCT,11.5
UK,Max temp,1918,NOV,8.1
UK,Max temp,1918,DEC,8.2
UK,Max temp,1919,JAN,4.8
UK,Max temp,1919,FEB,3.9
UK,Max temp,1919,MAR,5.8
UK,Max temp,1919,APR,10.1
UK,Max temp,1919,MAY,16.8
UK,Max temp,1919,JUN,17.1
UK,Max temp,1919,JUL,17.2
UK,Max temp,1919,AUG,18.7
UK,Max temp,1919,SEP,15.9
UK,Max temp,1919,OCT,11.0
UK,Max temp,1919,NOV,5.1
UK,Max temp,1919,DEC,6.9
UK,Max temp,1920,JAN,6.8
UK,Max temp,1920,FEB,8.2
UK,Max temp,1920,MAR,9.4
UK,Max temp,1920,APR,10.1
UK,Max temp,1920,MAY,14.6
UK,Max temp,1920,JUN,17.5
UK,Max temp,1920,JUL,16.5
UK,Max temp,1920,AUG,16.4
UK,Max temp,1920,SEP,15.8
UK,Max temp,1920,OCT,13.4
UK,Max temp,1920,NOV,9.5
UK,Max temp,1920,DEC,6.1
UK,Max temp,1921,JAN,8.4
UK,Max temp,1921,FEB,7.2
UK,Max temp,1921,MAR,9.4
UK,Max temp,1921,APR,12.0
UK,Max temp,1921,MAY,14.9
UK,Max temp,1921,JUN,18.2
UK,Max temp,1921,JUL,21.5
UK,Max temp,1921,AUG,17.7
UK,Max temp,1921,SEP,17.3
UK,Max temp,1921,OCT,15.6
UK,Max temp,1921,NOV,7.3
UK,Max temp,1921,DEC,8.6
UK,Max temp,1922,JAN,5.5
UK,Max temp,1922,FEB,6.6
UK,Max temp,1922,MAR,7.2
UK,Max temp,1922,APR,8.7
UK,Max temp,1922,MAY,15.8
UK,Max temp,1922,JUN,16.8
UK,Max temp,1922,JUL,16.2
UK,Max temp,1922,AUG,16.1
UK,Max temp,1922,SEP,14.8
UK,Max temp,1922,OCT,11.2
UK,Max temp,1922,NOV,8.5
UK,Max temp,1922,DEC,7.2
UK,Max temp,1923,JAN,7.7
UK,Max temp,1923,FEB,6.8
UK,Max temp,1923,MAR,9.1
UK,Max temp,1923,APR,10.0
UK,Max temp,1923,MAY,12.0
UK,Max temp,1923,JUN,15.1
UK,Max temp,1923,JUL,19.8
UK,Max temp,1923,AUG,17.8
UK,Max temp,1923,SEP,15.2
UK,Max temp,1923,OCT,11.7
UK,Max temp,1923,NOV,5.8
UK,Max temp,1923,DEC,5.8
UK,Max temp,1924,JAN,6.3
UK,Max temp,1924,FEB,5.4
UK,Max temp,1924,MAR,7.2
UK,Max temp,1924,APR,10.1
UK,Max temp,1924,MAY,13.6
UK,Max temp,1924,JUN,16.4
UK,Max temp,1924,JUL,18.0
UK,Max temp,1924,AUG,16.7
UK,Max temp,1924,SEP,15.3
UK,Max temp,1924,OCT,12.3
UK,Max temp,1924,NOV,9.1
UK,Max temp,1924,DEC,8.4
UK,Max temp,1925,JAN,7.1
UK,Max temp,1925,FEB,6.7
UK,Max temp,1925,MAR,7.3
UK,Max temp,1925,APR,10.3
UK,Max temp,1925,MAY,14.0
UK,Max temp,1925,JUN,18.5
UK,Max temp,1925,JUL,19.9
UK,Max temp,1925,AUG,18.2
UK,Max temp,1925,SEP,14.1
UK,Max temp,1925,OCT,12.9
UK,Max temp,1925,NOV,6.4
UK,Max temp,1925,DEC,4.8
UK,Max temp,1926,JAN,6.5
UK,Max temp,1926,FEB,8.1
UK,Max temp,1926,MAR,8.7
UK,Max temp,1926,APR,12.2
UK,Max temp,1926,MAY,13.1
UK,Max temp,1926,JUN,16.7
UK,Max temp,1926,JUL,19.7
UK,Max temp,1926,AUG,19.2
UK,Max temp,1926,SEP,17.0
UK,Max temp,1926,OCT,10.5
UK,Max temp,1926,NOV,8.0
UK,Max temp,1926,DEC,6.3
UK,Max temp,1927,JAN,6.4
UK,Max temp,1927,FEB,6.7
UK,Max temp,1927,MAR,9.4
UK,Max temp,1927,APR,10.5
UK,Max temp,1927,MAY,14.1
UK,Max temp,1927,JUN,15.1
UK,Max temp,1927,JUL,18.3
UK,Max temp,1927,AUG,18.3
UK,Max temp,1927,SEP,14.7
UK,Max temp,1927,OCT,12.9
UK,Max temp,1927,NOV,8.1
UK,Max temp,1927,DEC,3.5
UK,Max temp,1928,JAN,7.2
UK,Max temp,1928,FEB,8.0
UK,Max temp,1928,MAR,7.9
UK,Max temp,1928,APR,11.0
UK,Max temp,1928,MAY,14.0
UK,Max temp,1928,JUN,15.5
UK,Max temp,1928,JUL,18.7
UK,Max temp,1928,AUG,18.0
UK,Max temp,1928,SEP,16.0
UK,Max temp,1928,OCT,12.5
UK,Max temp,1928,NOV,9.6
UK,Max temp,1928,DEC,5.8
UK,Max temp,1929,JAN,3.5
UK,Max temp,1929,FEB,2.9
UK,Max temp,1929,MAR,11.1
UK,Max temp,1929,APR,9.8
UK,Max temp,1929,MAY,14.8
UK,Max temp,1929,JUN,16.3
UK,Max temp,1929,JUL,19.1
UK,Max temp,1929,AUG,17.8
UK,Max temp,1929,SEP,18.5
UK,Max temp,1929,OCT,11.8
UK,Max temp,1929,NOV,8.9
UK,Max temp,1929,DEC,7.3
UK,Max temp,1930,JAN,7.1
UK,Max temp,1930,FEB,4.4
UK,Max temp,1930,MAR,7.5
UK,Max temp,1930,APR,10.6
UK,Max temp,1930,MAY,13.7
UK,Max temp,1930,JUN,18.6
UK,Max temp,1930,JUL,17.7
UK,Max temp,1930,AUG,18.3
UK,Max temp,1930,SEP,15.8
UK,Max temp,1930,OCT,12.4
UK,Max temp,1930,NOV,8.3
UK,Max temp,1930,DEC,6.3
UK,Max temp,1931,JAN,5.4
UK,Max temp,1931,FEB,5.8
UK,Max temp,1931,MAR,6.8
UK,Max temp,1931,APR,10.1
UK,Max temp,1931,MAY,14.1
UK,Max temp,1931,JUN,16.4
UK,Max temp,1931,JUL,17.6
UK,Max temp,1931,AUG,17.1
UK,Max temp,1931,SEP,14.5
UK,Max temp,1931,OCT,12.0
UK,Max temp,1931,NOV,9.6
UK,Max temp,1931,DEC,7.5
UK,Max temp,1932,JAN,8.5
UK,Max temp,1932,FEB,6.1
UK,Max temp,1932,MAR,7.8
UK,Max temp,1932,APR,9.4
UK,Max temp,1932,MAY,12.8
UK,Max temp,1932,JUN,17.6
UK,Max temp,1932,JUL,18.3
UK,Max temp,1932,AUG,19.6
UK,Max temp,1932,SEP,15.6
UK,Max temp,1932,OCT,11.1
UK,Max temp,1932,NOV,8.4
UK,Max temp,1932,DEC,7.3
UK,Max temp,1933,JAN,4.7
UK,Max temp,1933,FEB,6.2
UK,Max temp,1933,MAR,10.6
UK,Max temp,1933,APR,12.0
UK,Max temp,1933,MAY,14.8
UK,Max temp,1933,JUN,19.0
UK,Max temp,1933,JUL,20.9
UK,Max temp,1933,AUG,20.6
UK,Max temp,1933,SEP,18.3
UK,Max temp,1933,OCT,12.4
UK,Max temp,1933,NOV,7.7
UK,Max temp,1933,DEC,4.2
UK,Max temp,1934,JAN,6.9
UK,Max temp,1934,FEB,7.1
UK,Max temp,1934,MAR,7.6
UK,Max temp,1934,APR,10.2
UK,Max temp,1934,MAY,14.5
UK,Max temp,1934,JUN,18.3
UK,Max temp,1934,JUL,21.5
UK,Max temp,1934,AUG,18.2
UK,Max temp,1934,SEP,17.4
UK,Max temp,1934,OCT,12.3
UK,Max temp,1934,NOV,8.0
UK,Max temp,1934,DEC,8.9
UK,Max temp,1935,JAN,6.5
UK,Max temp,1935,FEB,7.4
UK,Max temp,1935,MAR,9.2
UK,Max temp,1935,APR,10.6
UK,Max temp,1935,MAY,13.9
UK,Max temp,1935,JUN,17.4
UK,Max temp,1935,JUL,20.3
UK,Max temp,1935,AUG,20.0
UK,Max temp,1935,SEP,15.9
UK,Max temp,1935,OCT,11.7
UK,Max temp,1935,NOV,8.5
UK,Max temp,1935,DEC,4.7
UK,Max temp,1936,JAN,5.2
UK,Max temp,1936,FEB,4.8
UK,Max temp,1936,MAR,8.9
UK,Max temp,1936,APR,9.4
UK,Max temp,1936,MAY,14.7
UK,Max temp,1936,JUN,17.9
UK,Max temp,1936,JUL,17.7
UK,Max temp,1936,AUG,19.1
UK,Max temp,1936,SEP,16.7
UK,Max temp,1936,OCT,12.3
UK,Max temp,1936,NOV,8.0
UK,Max temp,1936,DEC,7.4
UK,Max temp,1937,JAN,6.9
UK,Max temp,1937,FEB,6.7
